Alert Type,Entity,Category,Sales,Profit,Profit Margin,Reason
High Sales Low Profit,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,22638.48,-1811.078400000002,-0.08000000000000008,Product has high sales but weak profit margin
High Sales Low Profit,HON 5400 Series Task Chairs for Big and Tall,Furniture,21870.576,3.979039320256561e-13,1.8193573503763965e-17,Product has high sales but weak profit margin
High Sales Low Profit,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,19024.5,760.9799999999998,0.03999999999999999,Product has high sales but weak profit margin
High Sales Low Profit,GBC DocuBind P400 Electric Binding System,Office Supplies,17965.068,-1878.166200000003,-0.10454545454545472,Product has high sales but weak profit margin
High Sales Low Profit,High Speed Automatic Electric Letter Opener,Office Supplies,17030.311999999998,-262.00480000000084,-0.015384615384615436,Product has high sales but weak profit margin
High Sales Low Profit,Lexmark MX611dhe Monochrome Laser Printer,Technology,16829.900999999998,-4589.973000000004,-0.272727272727273,Product has high sales but weak profit margin
High Sales Low Profit,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,16656.199999999997,-1299.1835999999998,-0.078,Product has high sales but weak profit margin
High Sales Low Profit,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,15610.965600000001,-669.5448000000002,-0.04288939051918737,Product has high sales but weak profit margin
High Sales Low Profit,Bretford Rectangular Conference Table Tops,Furniture,12995.2915,-327.2330999999991,-0.02518089725036173,Product has high sales but weak profit margin
High Sales Low Profit,Cubify CubeX 3D Printer Double Head Print,Technology,11099.963,-8879.970400000002,-0.8000000000000002,Product has high sales but weak profit margin
Loss Making Product,Cubify CubeX 3D Printer Double Head Print,Technology,11099.963,-8879.970400000002,-0.8000000000000002,Product generated negative profit
Loss Making Product,Lexmark MX611dhe Monochrome Laser Printer,Technology,16829.900999999998,-4589.973000000004,-0.272727272727273,Product generated negative profit
Loss Making Product,Cubify CubeX 3D Printer Triple Head Print,Technology,7999.98,-3839.990399999999,-0.4799999999999999,Product generated negative profit
Loss Making Product,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,9917.640000000001,-2876.1156000000005,-0.29000000000000004,Product generated negative profit
Loss Making Product,Bush Advantage Collection Racetrack Conference Table,Furniture,9544.725,-1934.3976,-0.20266666666666666,Product generated negative profit
Loss Making Product,GBC DocuBind P400 Electric Binding System,Office Supplies,17965.068,-1878.166200000003,-0.10454545454545472,Product generated negative profit
Loss Making Product,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,22638.48,-1811.078400000002,-0.08000000000000008,Product generated negative profit
Loss Making Product,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,16656.199999999997,-1299.1835999999998,-0.078,Product generated negative profit
Loss Making Product,Balt Solid Wood Round Tables,Furniture,6518.754,-1201.0581,-0.18424657534246575,Product generated negative profit
Loss Making Product,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,1706.25,-1148.4375,-0.6730769230769231,Product generated negative profit
Monthly Performance Risk,2014-02,Overall Business,4519.892,862.3084,0.19078075316843854,"Sales Drop, Profit Drop, Normal"
Monthly Performance Risk,2014-03,Overall Business,55691.009,498.72989999999777,0.008955303718774385,"Normal, Profit Drop, Margin Drop"
Monthly Performance Risk,2014-04,Overall Business,28295.345,3488.8352,0.12330067719619604,"Sales Drop, Normal, Normal"
Monthly Performance Risk,2014-05,Overall Business,23648.287,2738.7096,0.1158100626907987,"Sales Drop, Profit Drop, Normal"
Monthly Performance Risk,2014-07,Overall Business,33946.393,-841.4826000000024,-0.024788571793179986,"Normal, Profit Drop, Margin Drop"
Monthly Performance Risk,2014-08,Overall Business,27909.4685,5318.105,0.19054841549562293,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2014-09,Overall Business,81777.3508,8328.099399999996,0.10183870373066665,"Normal, Normal, Margin Drop"
Monthly Performance Risk,2014-10,Overall Business,31453.393,3448.257299999999,0.10963069389683965,"Sales Drop, Profit Drop, Normal"
Monthly Performance Risk,2014-12,Overall Business,69545.6205,8983.569899999999,0.1291752066544578,"Sales Drop, Normal, Normal"
Monthly Performance Risk,2015-01,Overall Business,18174.0756,-3281.007000000001,-0.1805322632200342,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2015-02,Overall Business,11951.411,2813.8507999999997,0.23544088643591954,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2015-04,Overall Business,34195.2085,4187.496199999999,0.12245856608828685,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2015-05,Overall Business,30131.6865,4667.868999999999,0.15491562345838156,"Sales Drop, Normal, Normal"
Monthly Performance Risk,2015-06,Overall Business,24797.292,3335.5571999999997,0.13451296214118863,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2015-07,Overall Business,28765.325,3288.648299999999,0.11432682578764533,"Normal, Normal, Margin Drop"
Monthly Performance Risk,2015-09,Overall Business,64595.918000000005,8209.162699999999,0.12708485232766564,"Normal, Normal, Margin Drop"
Monthly Performance Risk,2015-10,Overall Business,31404.9235,2817.366,0.08971096522492723,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2015-12,Overall Business,74919.5212,8016.965899999998,0.10700770335408921,"Normal, Profit Drop, Margin Drop"
Monthly Performance Risk,2016-01,Overall Business,18542.491,2824.8233,0.15234324773300414,"Sales Drop, Profit Drop, Normal"
Monthly Performance Risk,2016-03,Overall Business,51715.875,3611.9679999999994,0.06984253867888728,"Normal, Profit Drop, Margin Drop"
Monthly Performance Risk,2016-04,Overall Business,38750.039,2977.814899999999,0.0768467587864879,"Sales Drop, Profit Drop, Normal"
Monthly Performance Risk,2016-06,Overall Business,40344.534,4750.378099999999,0.1177452712677261,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2016-08,Overall Business,31115.374300000003,2062.0692999999997,0.06627171764409723,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2016-10,Overall Business,59687.744999999995,16243.1425,0.27213530181111717,"Sales Drop, Normal, Normal"
Monthly Performance Risk,2016-11,Overall Business,79411.9658,4011.4074999999975,0.05051389245422756,"Normal, Profit Drop, Margin Drop"
Monthly Performance Risk,2017-01,Overall Business,43971.374,7140.4391,0.16238835520582093,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2017-02,Overall Business,20301.1334,1613.871999999999,0.07949664524641757,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2017-04,Overall Business,36521.536100000005,933.289999999998,0.025554511109405334,"Sales Drop, Profit Drop, Margin Drop"
Monthly Performance Risk,2017-07,Overall Business,45264.416,6952.6212,0.15360015249064518,"Sales Drop, Profit Drop, Normal"
Monthly Performance Risk,2017-09,Overall Business,87866.652,10991.5556,0.12509359751182964,"Normal, Normal, Margin Drop"
Monthly Performance Risk,2017-10,Overall Business,77776.9232,9275.275499999998,0.11925485244703017,"Sales Drop, Profit Drop, Normal"
Monthly Performance Risk,2017-11,Overall Business,118447.825,9690.103699999998,0.08180904714797421,"Normal, Normal, Margin Drop"
Monthly Performance Risk,2017-12,Overall Business,83829.3188,8483.3468,0.10119784964780126,"Sales Drop, Profit Drop, Normal"
